distribution,param_geom_p,param_geom_scale,opp_mean_empirical,opp_std_empirical,best_speed_pct,best_research_pct,best_scale_pct,implied_hit_rate,best_pnl
"Geom(p=0.053,scale=8.50)",0.05333333333333334,8.5,71.007,35.49832321392096,25.5,18.112313670668314,56.387686329331686,0.2592,80808.29122171362
"Geom(p=0.053,scale=10.00)",0.05333333333333334,10.0,75.09,34.041032593033954,30.0,17.198801765643235,52.80119823435676,0.2519999999999999,67109.00527537809
"Geom(p=0.053,scale=11.50)",0.05333333333333334,11.5,77.477,33.93629282935896,11.5,20.90116831574515,67.59883168425485,0.1856,67471.91765128907
"Geom(p=0.053,scale=13.00)",0.05333333333333334,13.0,78.147,33.75576085648196,13.0,20.605879244178247,66.39412075582175,0.18719999999999992,65861.23064920215
"Geom(p=0.053,scale=14.50)",0.05333333333333334,14.5,81.8005,31.77005586633426,14.5,20.30979244297223,65.19020755702778,0.1824,60345.67891580246
"Geom(p=0.053,scale=16.00)",0.05333333333333334,16.0,80.496,32.92090496933522,16.0,20.012890189963684,63.987109810036316,0.19519999999999993,65378.26397550879
"Geom(p=0.072,scale=2.50)",0.07166666666666667,2.5,30.4375,28.60663985423664,27.5,17.707427909918543,54.79257209008145,0.5888,236643.49180772493
"Geom(p=0.072,scale=4.00)",0.07166666666666667,4.0,43.7,33.888139518126394,24.0,18.414842454972185,57.58515754502781,0.4248,170098.32893706963
"Geom(p=0.072,scale=5.50)",0.07166666666666667,5.5,55.287,35.633132489299896,27.5,17.707427909918543,54.79257209008145,0.35439999999999994,122531.34085709529
"Geom(p=0.072,scale=7.00)",0.07166666666666667,7.0,60.101,37.07736235224938,28.0,17.605929858891987,54.39407014110802,0.3480000000000001,117871.11215850964
"Geom(p=0.072,scale=8.50)",0.07166666666666667,8.5,63.6545,36.82021020784645,25.5,18.112313670668314,56.387686329331686,0.30079999999999996,101802.21450421086
"Geom(p=0.072,scale=10.00)",0.07166666666666667,10.0,68.39,36.11243414670354,20.0,19.21702149899474,60.78297850100526,0.2559999999999999,91916.12259396599
"Geom(p=0.072,scale=11.50)",0.07166666666666667,11.5,69.8715,36.04853308735322,23.0,18.61600110520247,58.38399889479753,0.2607999999999999,87476.91393369672
"Geom(p=0.072,scale=13.00)",0.07166666666666667,13.0,74.703,34.65444835803912,13.0,20.605879244178247,66.39412075582175,0.20240000000000002,75268.76647114598
"Geom(p=0.072,scale=14.50)",0.07166666666666667,14.5,77.3205,34.23642840236113,14.5,20.30979244297223,65.19020755702778,0.20319999999999994,72928.95809041147
"Geom(p=0.072,scale=16.00)",0.07166666666666667,16.0,77.376,34.15392545520939,16.0,20.012890189963684,63.987109810036316,0.20719999999999994,72471.19003957696
"Geom(p=0.090,scale=2.50)",0.09,2.5,24.8725,23.721614484473857,27.5,17.707427909918543,54.79257209008145,0.6328,258063.8614400957
"Geom(p=0.090,scale=4.00)",0.09,4.0,37.12,31.756473355837233,24.0,18.414842454972185,57.58515754502781,0.4856,201600.16132730935
"Geom(p=0.090,scale=5.50)",0.09,5.5,45.898,35.70359360064474,27.5,17.707427909918543,54.79257209008145,0.45039999999999997,169266.69278226784
"Geom(p=0.090,scale=7.00)",0.09,7.0,51.982,36.40131420704478,28.0,17.605929858891987,54.39407014110802,0.38880000000000003,137552.5528943349
"Geom(p=0.090,scale=8.50)",0.09,8.5,57.805,37.84775389636748,25.5,18.112313670668314,56.387686329331686,0.3535999999999999,128448.34790122657
"Geom(p=0.090,scale=10.00)",0.09,10.0,61.55,38.19028017702934,20.0,19.21702149899474,60.78297850100526,0.29999999999999993,116307.95616480391
"Geom(p=0.090,scale=11.50)",0.09,11.5,66.5275,36.87225913542592,23.0,18.61600110520247,58.38399889479753,0.28159999999999996,98441.33038239647
"Geom(p=0.090,scale=13.00)",0.09,13.0,68.489,36.879179478399465,26.0,18.011256294679768,55.98874370532023,0.2904,95255.38107615183
"Geom(p=0.090,scale=14.50)",0.09,14.5,71.265,36.57584961419215,14.5,20.30979244297223,65.19020755702778,0.22640000000000005,86964.15409286009
"Geom(p=0.090,scale=16.00)",0.09,16.0,68.44,37.59359519918253,16.0,20.012890189963684,63.987109810036316,0.2552,100842.89429584966
"Geom(p=0.108,scale=2.50)",0.10833333333333334,2.5,19.6625,20.494934587599932,22.5,18.716424873416514,58.783575126583486,0.66,300891.4190587504
"Geom(p=0.108,scale=4.00)",0.10833333333333334,4.0,29.88,28.09045389451726,24.0,18.414842454972185,57.58515754502781,0.5592,239733.95843128377
"Geom(p=0.108,scale=5.50)",0.10833333333333334,5.5,42.092,33.688418425328315,27.5,17.707427909918543,54.79257209008145,0.47119999999999995,179392.68569938856
"Geom(p=0.108,scale=7.00)",0.10833333333333334,7.0,47.642,36.0468006347304,28.0,17.605929858891987,54.39407014110802,0.44160000000000005,163022.65267010877
"Geom(p=0.108,scale=8.50)",0.10833333333333334,8.5,52.841,37.09020381448449,25.5,18.112313670668314,56.387686329331686,0.38239999999999996,142982.602481417
"Geom(p=0.108,scale=10.00)",0.10833333333333334,10.0,56.91,37.33298675434367,30.0,17.198801765643235,52.80119823435676,0.39280000000000004,132541.33838162117
"Geom(p=0.108,scale=11.50)",0.10833333333333334,11.5,58.5625,38.332686362294,23.0,18.61600110520247,58.38399889479753,0.3400000000000001,129226.03810374581
"Geom(p=0.108,scale=13.00)",0.10833333333333334,13.0,62.845,38.00340741302022,26.0,18.011256294679768,55.98874370532023,0.3304,115263.00932355569
"Geom(p=0.108,scale=14.50)",0.10833333333333334,14.5,68.143,37.540725232738914,29.0,17.402595007761686,53.59740499223831,0.3208,101910.50466014276
"Geom(p=0.108,scale=16.00)",0.10833333333333334,16.0,68.14,36.97258984707455,16.0,20.012890189963684,63.987109810036316,0.2519999999999999,98951.44734543143
"Geom(p=0.127,scale=2.50)",0.12666666666666668,2.5,17.555,17.865734661636502,25.0,18.21326321948096,56.786736780519036,0.7168,314951.94210333354
"Geom(p=0.127,scale=4.00)",0.12666666666666668,4.0,26.7,25.895598081527293,24.0,18.414842454972185,57.58515754502781,0.5992,260458.8481617046
"Geom(p=0.127,scale=5.50)",0.12666666666666668,5.5,34.35,29.80510023469138,27.5,17.707427909918543,54.79257209008145,0.54,212886.3545790956
"Geom(p=0.127,scale=7.00)",0.12666666666666668,7.0,41.373,34.778468497045694,28.0,17.605929858891987,54.39407014110802,0.5,191194.1266645253
"Geom(p=0.127,scale=8.50)",0.12666666666666668,8.5,44.923,35.926091785775974,25.5,18.112313670668314,56.387686329331686,0.45359999999999995,178914.50963799882
"Geom(p=0.127,scale=10.00)",0.12666666666666668,10.0,51.33,36.667848314293,20.0,19.21702149899474,60.78297850100526,0.35839999999999994,148682.57163155242
"Geom(p=0.127,scale=11.50)",0.12666666666666668,11.5,55.689,37.208510840935304,23.0,18.61600110520247,58.38399889479753,0.3575999999999999,138503.6212526455
"Geom(p=0.127,scale=13.00)",0.12666666666666668,13.0,58.116,38.23156476002519,26.0,18.011256294679768,55.98874370532023,0.36239999999999994,131269.1119214787
"Geom(p=0.127,scale=14.50)",0.12666666666666668,14.5,59.8325,38.457550542773774,14.5,20.30979244297223,65.19020755702778,0.29679999999999995,129553.71437615223
"Geom(p=0.127,scale=16.00)",0.12666666666666668,16.0,64.344,37.8507815507157,16.0,20.012890189963684,63.987109810036316,0.2759999999999999,113137.29947356778
"Geom(p=0.145,scale=2.50)",0.14500000000000002,2.5,15.025,15.916952440715528,22.5,18.716424873416514,58.783575126583486,0.728,337043.86829510645
"Geom(p=0.145,scale=4.00)",0.14500000000000002,4.0,23.184,23.854352726494174,24.0,18.414842454972185,57.58515754502781,0.6376,280354.7423029086
"Geom(p=0.145,scale=5.50)",0.14500000000000002,5.5,31.8575,29.144852783124502,22.0,18.816746065029015,59.18325393497099,0.5184,227955.52839729754
"Geom(p=0.145,scale=7.00)",0.14500000000000002,7.0,34.829,31.728721357785595,28.0,17.605929858891987,54.39407014110802,0.5688,224382.43849356397
"Geom(p=0.145,scale=8.50)",0.14500000000000002,8.5,42.065,34.89218071430904,25.5,18.112313670668314,56.387686329331686,0.476,190218.92986703583
"Geom(p=0.145,scale=10.00)",0.14500000000000002,10.0,46.52,35.699994397758665,30.0,17.198801765643235,52.80119823435676,0.476,171205.89885349205
"Geom(p=0.145,scale=11.50)",0.14500000000000002,11.5,50.2895,38.28361189530058,23.0,18.61600110520247,58.38399889479753,0.4112,166758.0790242949
"Geom(p=0.145,scale=13.00)",0.14500000000000002,13.0,54.15,37.65909584682033,26.0,18.011256294679768,55.98874370532023,0.39359999999999995,146875.0619544537
"Geom(p=0.145,scale=14.50)",0.14500000000000002,14.5,53.121,39.39424271387889,14.5,20.30979244297223,65.19020755702778,0.3480000000000001,160527.94003672843
"Geom(p=0.145,scale=16.00)",0.14500000000000002,16.0,61.34,38.56646729997447,16.0,20.012890189963684,63.987109810036316,0.3064,131106.0455025405
"Geom(p=0.163,scale=2.50)",0.16333333333333333,2.5,12.845,14.52819586184052,17.5,19.715154042277643,62.784845957722354,0.7128,361466.2127230256
"Geom(p=0.163,scale=4.00)",0.16333333333333333,4.0,19.668,21.347453618640326,20.0,19.21702149899474,60.78297850100526,0.64,304790.3064849151
"Geom(p=0.163,scale=5.50)",0.16333333333333333,5.5,25.74,26.333854636190274,22.0,18.816746065029015,59.18325393497099,0.5888,265702.5754635972
"Geom(p=0.163,scale=7.00)",0.16333333333333333,7.0,31.847,30.045525307439707,21.0,19.01708402887153,59.98291597112848,0.5208,233968.58762979158
"Geom(p=0.163,scale=8.50)",0.16333333333333333,8.5,39.2065,34.126179214057935,25.5,18.112313670668314,56.387686329331686,0.4936,199100.97433270773
"Geom(p=0.163,scale=10.00)",0.16333333333333333,10.0,44.79,35.51557264074451,20.0,19.21702149899474,60.78297850100526,0.4168,181057.18709830096
"Geom(p=0.163,scale=11.50)",0.16333333333333333,11.5,46.3995,36.27429737086578,23.0,18.61600110520247,58.38399889479753,0.42400000000000004,173505.41222349473
"Geom(p=0.163,scale=13.00)",0.16333333333333333,13.0,50.355,37.40592165687139,26.0,18.011256294679768,55.98874370532023,0.42160000000000003,160880.4017276364
"Geom(p=0.163,scale=14.50)",0.16333333333333333,14.5,54.7365,38.84064646411025,29.0,17.402595007761686,53.59740499223831,0.4176,147748.83649026067
"Geom(p=0.163,scale=16.00)",0.16333333333333333,16.0,54.784,39.20562898360387,16.0,20.012890189963684,63.987109810036316,0.34720000000000006,155221.9941203723
"Geom(p=0.182,scale=2.50)",0.18166666666666667,2.5,11.4075,12.118176172592971,20.0,19.21702149899474,60.78297850100526,0.768,375748.3677818981
"Geom(p=0.182,scale=4.00)",0.18166666666666667,4.0,17.784,19.024650956062242,20.0,19.21702149899474,60.78297850100526,0.6552,313216.5762639318
"Geom(p=0.182,scale=5.50)",0.18166666666666667,5.5,23.775,25.097766334875303,22.0,18.816746065029015,59.18325393497099,0.6192,282002.43669677206
"Geom(p=0.182,scale=7.00)",0.18166666666666667,7.0,30.261,29.193164936333982,21.0,19.01708402887153,59.98291597112848,0.532,240075.4389766688
"Geom(p=0.182,scale=8.50)",0.18166666666666667,8.5,33.966,31.634037744176762,25.5,18.112313670668314,56.387686329331686,0.5424,223728.46126025257
"Geom(p=0.182,scale=10.00)",0.18166666666666667,10.0,38.54,33.34169161875264,20.0,19.21702149899474,60.78297850100526,0.46159999999999995,205892.50855224498
"Geom(p=0.182,scale=11.50)",0.18166666666666667,11.5,42.2265,35.08999783057845,23.0,18.61600110520247,58.38399889479753,0.45039999999999997,187421.78694684437
"Geom(p=0.182,scale=13.00)",0.18166666666666667,13.0,47.603,37.091769855319654,13.0,20.605879244178247,66.39412075582175,0.35919999999999996,172314.9254764606
"Geom(p=0.182,scale=14.50)",0.18166666666666667,14.5,48.056,37.675985242591864,14.5,20.30979244297223,65.19020755702778,0.37439999999999996,176499.02514296293
"Geom(p=0.182,scale=16.00)",0.18166666666666667,16.0,51.176,37.76888963154728,16.0,20.012890189963684,63.987109810036316,0.36239999999999994,164206.3671348586
"Geom(p=0.200,scale=2.50)",0.2,2.5,9.775,10.504136090131354,17.5,19.715154042277643,62.784845957722354,0.7776000000000001,398872.2320614825
"Geom(p=0.200,scale=4.00)",0.2,4.0,16.076,17.29769418159542,20.0,19.21702149899474,60.78297850100526,0.6816,327851.67640643456
"Geom(p=0.200,scale=5.50)",0.2,5.5,21.0885,23.10246562057825,22.0,18.816746065029015,59.18325393497099,0.6576,302591.7350965719
"Geom(p=0.200,scale=7.00)",0.2,7.0,26.336,27.143527847352487,21.0,19.01708402887153,59.98291597112848,0.5680000000000001,259704.60402020282
"Geom(p=0.200,scale=8.50)",0.2,8.5,30.836,29.851216122630582,25.5,18.112313670668314,56.387686329331686,0.5768,241088.82089770224
"Geom(p=0.200,scale=10.00)",0.2,10.0,37.71,33.85935468965704,20.0,19.21702149899474,60.78297850100526,0.48,216092.7298636863
"Geom(p=0.200,scale=11.50)",0.2,11.5,41.206,35.701506466814536,23.0,18.61600110520247,58.38399889479753,0.4816,203868.41161989397
"Geom(p=0.200,scale=13.00)",0.2,13.0,43.659,36.233861497223835,26.0,18.011256294679768,55.98874370532023,0.47359999999999997,186890.31844926137
"Geom(p=0.200,scale=14.50)",0.2,14.5,46.166,37.074040028030396,29.0,17.402595007761686,53.59740499223831,0.4896,181843.46347134007
"Geom(p=0.200,scale=16.00)",0.2,16.0,46.984,37.9670349645584,16.0,20.012890189963684,63.987109810036316,0.3944,183120.83663904038
AGGREGATE (mean over sims),0.11749999999999997,9.25,50.471810000000005,32.646127311517226,21.975,18.81579478257661,59.20920521742339,0.40855199999999997,166395.1662952006
