distribution,param_target_mean,param_mu_ln,param_sigma_ln,opp_mean_empirical,opp_std_empirical,best_speed_pct,best_research_pct,best_scale_pct,implied_hit_rate,best_pnl
"LogNormal(E≈23.1,σ_ln=0.43)",23.12676056338028,3.0484192465358273,0.43028169014084505,23.007812299560136,10.464476674459828,31.8,16.830792115386274,51.36920788461373,0.7752,298011.70757672976
"LogNormal(E≈23.1,σ_ln=0.44)",23.12676056338028,3.0428846303882375,0.44295774647887326,22.721224046468567,10.246276607277565,31.0,16.994541832179557,52.00545816782045,0.7672,299792.62110158097
"LogNormal(E≈23.1,σ_ln=0.46)",23.12676056338028,3.0371893318363625,0.4556338028169014,22.913555967084175,10.658584968019623,32.8,16.625670338476702,50.574329661523294,0.7808,293715.7404397384
"LogNormal(E≈23.1,σ_ln=0.47)",23.12676056338028,3.0283451045005165,0.47464788732394364,22.7938887441511,11.495312499452847,30.5,17.096730664643744,52.403269335356256,0.7368,289165.17162763403
"LogNormal(E≈23.1,σ_ln=0.49)",23.12676056338028,3.0222480999379298,0.48732394366197185,23.44845957429678,11.87960369718836,30.7,17.05586931954025,52.24413068045975,0.736,287504.38125719596
"LogNormal(E≈24.1,σ_ln=0.05)",24.140845070422536,3.1826552221164097,0.05,24.164406213213052,1.2296049757624763,27.2,17.76827310899424,55.03172689100576,0.8936000000000001,387411.4196509712
"LogNormal(E≈24.1,σ_ln=0.06)",24.140845070422536,3.181941078097366,0.06267605633802817,24.115290944743812,1.5408252218488354,27.8,17.64654253409985,54.55345746590015,0.892,381873.0343919465
"LogNormal(E≈24.1,σ_ln=0.08)",24.140845070422536,3.1805685825607664,0.08169014084507042,24.143428176244562,1.8695239167618547,28.2,17.565299170404533,54.23470082959547,0.888,376786.330135965
"LogNormal(E≈24.1,σ_ln=0.09)",24.140845070422536,3.17945273253101,0.0943661971830986,24.03581806992497,2.2909800116394394,28.8,17.443298388330728,53.75670161166927,0.8768,366746.6954658198
"LogNormal(E≈24.1,σ_ln=0.11)",24.140845070422536,3.177477677978342,0.11338028169014085,24.19799300792914,2.831157151140581,30.1,17.17839691269233,52.72160308730766,0.8832,359662.00135035644
"LogNormal(E≈24.1,σ_ln=0.13)",24.140845070422536,3.175960121937874,0.126056338028169,24.11617963335743,3.12331630342245,30.3,17.137573172908947,52.56242682709106,0.88,356629.89182301867
"LogNormal(E≈24.1,σ_ln=0.15)",24.140845070422536,3.1733825083691376,0.14507042253521127,24.046296634612357,3.5186398091422038,30.7,17.05586931954025,52.24413068045975,0.8712,349502.46868378954
"LogNormal(E≈24.1,σ_ln=0.16)",24.140845070422536,3.1714632463179573,0.15774647887323945,24.08215103112581,3.81222247948573,31.6,16.87175830521343,51.528241694786566,0.8728,343353.56518222275
"LogNormal(E≈24.1,σ_ln=0.17)",24.140845070422536,3.169383301862492,0.1704225352112676,24.16376568399196,4.216778662298147,31.3,16.93317157288777,51.76682842711223,0.8632,341293.3197014842
"LogNormal(E≈24.1,σ_ln=0.19)",24.140845070422536,3.16596210567126,0.18943661971830988,24.037968217165275,4.422083341054379,32.2,16.748801787096248,51.05119821290374,0.8672,336284.33684647613
"LogNormal(E≈24.1,σ_ln=0.20)",24.140845070422536,3.163480455205083,0.20211267605633804,24.398765645567263,4.906639336081697,31.9,16.81030179034886,51.28969820965114,0.844,328160.7448199948
"LogNormal(E≈24.1,σ_ln=0.22)",24.140845070422536,3.1594566999977824,0.22112676056338026,24.117512598834615,5.563775949479205,31.3,16.93317157288777,51.76682842711223,0.8216,322435.8103182801
"LogNormal(E≈24.1,σ_ln=0.23)",24.140845070422536,3.1565733435208934,0.23380281690140847,24.263080292758065,5.885916028509231,33.1,16.5640383984489,50.3359616015511,0.8448,319684.5117566675
"LogNormal(E≈24.1,σ_ln=0.25)",24.140845070422536,3.1519470292975247,0.2528169014084507,24.20809498629749,6.295376795334939,33.6,16.461219533718957,49.93878046628104,0.8360000000000001,312203.43018864986
"LogNormal(E≈24.1,σ_ln=0.27)",24.140845070422536,3.148661966809923,0.2654929577464789,23.922667960244087,6.514628452143644,32.9,16.60513128489011,50.494868715109895,0.8224,311312.77529257024
"LogNormal(E≈24.1,σ_ln=0.28)",24.140845070422536,3.1434330935704864,0.28450704225352114,24.44061388706752,6.924896121030447,33.4,16.502361980638824,50.09763801936118,0.8216,307390.709836715
"LogNormal(E≈24.1,σ_ln=0.30)",24.140845070422536,3.1397463250721724,0.2971830985915493,24.065227392739267,7.235065467195207,31.4,16.912705274116323,51.68729472588368,0.7952,309772.3513078
"LogNormal(E≈24.1,σ_ln=0.31)",24.140845070422536,3.135898874169574,0.30985915492957744,23.89021099227963,7.492531939443485,31.5,16.892234187839744,51.60776581216025,0.7864,305102.75064676866
"LogNormal(E≈24.1,σ_ln=0.33)",24.140845070422536,3.129826418307642,0.3288732394366197,24.117704072894494,7.969728983247364,32.8,16.625670338476702,50.574329661523294,0.7968,300759.0957766182
"LogNormal(E≈24.1,σ_ln=0.34)",24.140845070422536,3.125577261394331,0.3415492957746479,23.79142294922806,8.178889990771216,32.0,16.78980663328829,51.21019336671171,0.788,302381.26525410014
"LogNormal(E≈24.1,σ_ln=0.36)",24.140845070422536,3.1189022465163307,0.36056338028169016,24.44594240260991,9.420946249781576,33.3,16.522925744157327,50.17707425584267,0.7728,286834.17743682954
"LogNormal(E≈24.1,σ_ln=0.37)",24.140845070422536,3.1142513835923076,0.3732394366197183,24.196192217413316,9.216672322887968,31.5,16.892234187839744,51.60776581216025,0.764,294987.9215337376
"LogNormal(E≈24.1,σ_ln=0.39)",24.140845070422536,3.106973809698239,0.39225352112676054,24.689328066701183,10.36274289245012,33.2,16.543484546962212,50.25651545303778,0.756,280168.5275096845
"LogNormal(E≈24.1,σ_ln=0.40)",24.140845070422536,3.1019212407635037,0.40492957746478875,23.911160392083943,9.832351906321888,31.7,16.851277617363426,51.448722382636575,0.7624,292931.8021518192
"LogNormal(E≈24.1,σ_ln=0.42)",24.140845070422536,3.094041107853367,0.423943661971831,24.61252950086094,11.19352069400788,34.7,16.23457729604318,49.06542270395681,0.7736000000000001,277802.22987855924
"LogNormal(E≈24.1,σ_ln=0.44)",24.140845070422536,3.0885868329079194,0.4366197183098592,24.07926328299346,10.725483167249502,32.0,16.78980663328829,51.21019336671171,0.7584,289144.6085897329
"LogNormal(E≈24.1,σ_ln=0.46)",24.140845070422536,3.0801041409817143,0.4556338028169014,23.51950962959505,11.243817118306257,32.2,16.748801787096248,51.05119821290374,0.7656000000000001,291027.77708678757
"LogNormal(E≈24.1,σ_ln=0.47)",24.140845070422536,3.074248160025555,0.46830985915492956,23.957258001092683,12.13005428565358,32.6,16.66673371272615,50.73326628727386,0.7504,281640.2234617592
"LogNormal(E≈24.1,σ_ln=0.48)",24.140845070422536,3.0682314966651107,0.48098591549295777,24.073282333397746,12.350141980953,33.8,16.420057130395705,49.7799428696043,0.772,283135.9505058899
"LogNormal(E≈24.1,σ_ln=0.50)",24.140845070422536,3.05890522211641,0.5,24.747480752042133,13.018064623418963,32.4,16.70777750450566,50.892222495494345,0.7368,276913.8982333105
"LogNormal(E≈25.2,σ_ln=0.06)",25.154929577464788,3.223466897686143,0.056338028169014086,25.142299139844486,1.4344276972391432,28.4,17.524650405145916,54.07534959485408,0.8888,375596.14548912283
"LogNormal(E≈25.2,σ_ln=0.08)",25.154929577464788,3.2222149139527567,0.07535211267605635,25.144982612908578,1.8882678085862046,29.3,17.341505538685492,53.35849446131451,0.8904,369278.2110874095
"LogNormal(E≈25.2,σ_ln=0.09)",25.154929577464788,3.221179405125143,0.08802816901408451,25.158507097739573,2.2153047263272034,29.7,17.259988358023936,53.040011641976065,0.8808,361650.8536267651
"LogNormal(E≈25.2,σ_ln=0.11)",25.154929577464788,3.2193248623756885,0.10704225352112676,25.213693336766365,2.671732741330167,30.4,17.117154269098396,52.48284573090161,0.8768,354380.5873392655
