speed_pct,research_pct,scale_pct,research_value,scale_value,gross_research_times_scale,pnl_mult_0.1,pnl_mult_0.2,pnl_mult_0.3,pnl_mult_0.4,pnl_mult_0.5,pnl_mult_0.6,pnl_mult_0.7,pnl_mult_0.8,pnl_mult_0.9
2.6,22.6376938985081,74.7623061014919,137064.3572757545,5.233361427104432,717307.3203977944,21730.73203977944,93461.46407955888,165192.1961193383,236922.92815911776,308653.6601988972,380384.3922386766,452115.12427845603,523845.8563182355,595576.5883580149
2.7,22.618323186248222,74.68167681375178,137028.82971062002,5.227717376962625,716347.9942230607,21634.799422306067,93269.59884461213,164904.3982669182,236539.19768922427,308173.99711153033,379808.7965338364,451443.5959561424,523078.39537844853,594713.1948007547
2.8,22.598949395827646,74.60105060417236,136993.2673428139,5.222073542292065,715388.916863052,21538.891686305215,93077.78337261043,164616.6750589156,236155.56674522086,307694.458431526,379233.3501178312,450772.2418041364,522311.1334904417,593850.0251767469
2.9,22.579572523249613,74.52042747675038,136957.6701031834,5.2164299233725275,714430.0885616288,21443.00885616288,92886.01771232576,164329.02656848865,235772.03542465152,307215.0442808144,378658.0531369773,450101.06199314015,521544.07084930304,592987.0797054659
3.0,22.560192564508025,74.43980743549197,136922.03792236847,5.210786520484438,713471.5095631367,21347.15095631368,92694.30191262736,164041.452868941,235388.60382525472,306735.75478156836,378082.905737882,449430.05669419566,520777.20765050943,592124.358606823
3.1,22.540809515587387,74.35919048441262,136886.37073080076,5.205143333908884,712513.1801124078,21251.318011240786,92502.63602248157,163753.95403372232,235005.27204496315,306256.5900562039,377507.90806744463,448759.22607868543,520010.5440899263,591261.862101167
3.2,22.5214233724628,74.27857662753719,136850.6684587026,5.199500363927603,711555.1004547599,21155.510045475996,92311.02009095199,163466.53013642796,234622.04018190398,305777.55022737995,376933.0602728559,448088.5703183319,519244.08036380797,590399.5904092839
3.3,22.502034131099915,74.19796586890008,136814.93103608667,5.193857610823006,710597.2708360034,21059.727083600344,92119.45416720069,163179.181250801,234238.90833440138,305298.6354180017,376358.362501602,447418.08958520234,518477.81666880276,589537.543752403
3.4,22.482641787454902,74.1173582125451,136779.15839275462,5.188215074878157,709639.6915024366,20963.96915024366,91927.93830048732,162891.907450731,233855.87660097465,304819.8457512183,375783.814901462,446747.7840517056,517711.7532019493,588675.722352193
3.5,22.463246337474438,74.03675366252557,136743.35045829648,5.182572756376789,708682.3627008508,20868.23627008508,91736.47254017016,162604.70881025525,233472.94508034032,304341.1813504254,375209.4176205105,446077.65389059554,516945.89016068063,587814.1264307657
3.6,22.443847777095634,73.95615222290436,136707.5071620898,5.1769306556033055,707725.2846785311,20772.528467853117,91545.05693570623,162317.58540355932,233090.11387141247,303862.64233926556,374635.17080711864,445407.69927497173,516180.22774282494,586952.756210678
3.7,22.42444610224604,73.87555389775396,136671.62843329876,5.171288772842777,706768.4576832575,20676.84576832576,91353.69153665152,162030.53730497725,232707.38307330303,303384.22884162876,374061.0746099545,444737.9203782802,515414.76614660607,586091.6119149318
3.8,22.405041308843597,73.79495869115641,136635.7142008733,5.165647108380949,705811.881963307,20581.18819633071,91162.37639266142,161743.5645889921,232324.75278532284,302905.9409816535,373487.1291779842,444068.3173743149,514649.5055706457,585230.6937669764
3.9,22.385633392796613,73.71436660720337,136599.7643935482,5.160005662504236,704855.5577674533,20485.55577674533,90971.11155349066,161456.66733023597,231942.2231069813,302427.7788837266,372913.33466047194,443398.89043721725,513884.4462139626,584370.0019907079
4.0,22.366222350003714,73.63377764999629,136563.7789398424,5.15436443549974,703899.4853449721,20389.94853449722,90779.89706899444,161169.84560349162,231559.79413798888,301949.74267248606,372339.69120698323,442729.63974148047,513119.58827597776,583509.5368104749
4.1,22.346808176353818,73.55319182364619,136527.75776805778,5.1487234276552325,702943.6649456378,20294.366494563787,90588.73298912757,160883.09948369133,231177.46597825515,301471.8324728189,371766.19896738266,442060.5654619464,512354.9319565103,582649.298451074
4.2,22.327390867726116,73.47260913227389,136491.7008062787,5.143082639259172,701988.0968197292,20198.809681972925,90397.61936394585,160596.42904591875,230795.2387278917,300994.0484098646,371192.8580918375,441391.6677738104,511590.4774557834,581789.2871377562
