distribution,param_skew_a,param_skew_loc,param_skew_scale,opp_mean_empirical,opp_std_empirical,best_speed_pct,best_research_pct,best_scale_pct,implied_hit_rate,best_pnl
"SkewNormal(a=-10.9,loc=36.0,scale=7.0)",-10.88888888888889,36.0,7.0,30.463750195550897,4.269175114008672,36.5,15.862372005327076,47.637627994672926,0.8936000000000001,314812.5250719313
"SkewNormal(a=-10.9,loc=40.0,scale=7.0)",-10.88888888888889,40.0,7.0,34.58735648121944,4.3761839940264835,40.6,15.00808332853955,44.39191667146044,0.8936000000000001,283700.3070004766
"SkewNormal(a=-10.9,loc=44.0,scale=7.0)",-10.88888888888889,44.0,7.0,38.42261065150607,4.330791325900623,44.5,14.186508683166359,41.31349131683365,0.8936000000000001,254658.99298086105
"SkewNormal(a=-10.9,loc=48.0,scale=7.0)",-10.88888888888889,48.0,7.0,42.602464782352065,4.022854137705878,48.4,13.355400656877777,38.244599343122225,0.8936000000000001,226193.25118018896
"SkewNormal(a=-10.9,loc=52.0,scale=7.0)",-10.88888888888889,52.0,7.0,46.32793742576026,4.427098506570219,52.1,12.557263901264031,35.34273609873596,0.8832,196849.54747644585
"SkewNormal(a=-10.9,loc=56.0,scale=7.0)",-10.88888888888889,56.0,7.0,50.58473437483664,4.093413927671944,56.3,11.638679436007909,32.0613205639921,0.8896000000000001,169482.99490331433
"SkewNormal(a=-10.9,loc=60.0,scale=7.0)",-10.88888888888889,60.0,7.0,54.278487743765695,4.191076462720986,60.3,10.749938264749803,28.950061735250202,0.8936000000000001,143353.28408542924
"SkewNormal(a=-10.9,loc=64.0,scale=7.0)",-10.88888888888889,64.0,7.0,58.49702275508719,4.238142056416223,64.1,9.891451404971123,26.008548595028884,0.8872,117152.54696231583
"SkewNormal(a=-10.9,loc=68.0,scale=7.0)",-10.88888888888889,68.0,7.0,62.07867040630456,4.235213208545304,68.1,8.970739967599235,22.929260032400776,0.884,91400.17373224918
"SkewNormal(a=-9.8,loc=32.0,scale=7.0)",-9.777777777777779,32.0,7.0,26.252098822684545,4.4571936524070175,32.7,16.646204478009523,50.653795521990475,0.896,345207.95456987893
"SkewNormal(a=-9.8,loc=36.0,scale=7.0)",-9.777777777777779,36.0,7.0,30.640713702628286,4.289396006569534,36.6,15.841644338899476,47.55835566110053,0.8968,315350.5436335522
"SkewNormal(a=-9.8,loc=40.0,scale=7.0)",-9.777777777777779,40.0,7.0,34.1968320791549,4.344726229422486,40.5,15.02903123027293,44.470968769727065,0.8928,284152.7783632545
"SkewNormal(a=-9.8,loc=44.0,scale=7.0)",-9.777777777777779,44.0,7.0,38.52391610169563,4.32608570709306,44.3,14.228865405223013,41.471134594776984,0.8904,255038.3384790981
"SkewNormal(a=-9.8,loc=48.0,scale=7.0)",-9.777777777777779,48.0,7.0,42.24878843837486,4.156052443149771,48.3,13.376837470001337,38.32316252999867,0.8896000000000001,225676.07859963138
"SkewNormal(a=-9.8,loc=52.0,scale=7.0)",-9.777777777777779,52.0,7.0,46.23104486494536,4.354094479764455,52.6,12.44863686151265,34.951363138487345,0.8944,196448.82361984122
